,name,area,volume,normalized_joints,normalized_contacts,normalized_holes,material
215,Servo screw 2,1.0747981316440167,0.08070681986803963,0,0,0,Metal_Ferrous_Steel
216,Platform 1 - Elbow,345.95383666873875,53.068533210391635,0,0,5,Metal_Non-Ferrous
217,Elbow Left cap 1 (1),33.7673252346553,3.064609620799859,0,0,0,Plastic
218,Screw 4 Left,2.572821197417678,0.22222647951390684,0,0,0,Metal_Non-Ferrous
219,Screw 1 Right,2.5728211974176807,0.22222647951390714,0,0,0,Metal_Non-Ferrous
220,Screw 2 Right,2.572821197417674,0.22222647951390692,0,0,0,Metal_Non-Ferrous
221,Screw 3 Right,2.5728211974176842,0.22222647951390745,0,0,0,Metal_Non-Ferrous
222,Screw 4 Right,2.5728211974176802,0.222226479513907,0,0,0,Metal_Non-Ferrous
223,Screw 5 Right,2.5728211974176802,0.22222647951390692,0,0,0,Metal_Non-Ferrous
224,Screw 6 Right,2.572821197417682,0.22222647951390737,0,0,0,Metal_Non-Ferrous
225,Left motor mount,135.74047103823193,9.675448895132273,0,0,0,Metal_Ferrous_Steel
226,Right motor mount,135.7404710382319,9.675448895132266,0,0,0,Metal_Ferrous_Steel
227,Shoulder right,185.06553385365848,14.559595512475997,0,0,1,Metal_Non-Ferrous
228,Shoulder left,185.0655338536586,14.559595512475978,0,0,1,Metal_Non-Ferrous
229,Shoulder top,205.2688747630164,16.17732834719568,0,0,1,Metal_Non-Ferrous
230,Cap - Shoulder right top,8.441831308663833,0.3830762025999822,0,0,0,Plastic
231,Cap - Shoulder left top,8.441831308663835,0.3830762025999878,0,0,0,Plastic
232,Cap - Shoulder right bottom,8.441831308663833,0.38307620259998226,0,0,0,Plastic
233,Cap - Shoulder left bottom,8.441831308663835,0.38307620259998226,0,0,0,Plastic
234,Hub - Shoulder right,10.237110313974124,0.6823610541112759,0,0,1,Metal_Ferrous_Steel
235,Hub - Shoulder left,10.237110313974124,0.682361054111277,0,0,1,Metal_Ferrous_Steel
236,Cap - Shoulder right top (1),31.830157087727123,2.778326435492679,0,0,0,Plastic
237,Lin. Support 1,69.87594081741621,9.291470771751632,0,0,0,Metal_Non-Ferrous
238,Lin. Support 2,69.8759408174162,9.291470771751627,0,0,0,Metal_Non-Ferrous
239,Lin. Support 3,69.87594081741622,9.291470771751634,0,0,0,Metal_Non-Ferrous
240,Lin. Support 4,69.87594081741621,9.29147077175164,0,0,0,Metal_Non-Ferrous
241,3D printed 1,22.933837431620926,4.866528320222339,0,0,0,Plastic
242,3D printed 2,22.933837431620937,4.8665718611409785,0,0,0,Plastic
243,Motor - Black,69.36636579126268,42.62512912390639,0,0,0,Plastic
244,Motor - Body,111.38752980827825,72.5653079107665,0,0,4,Metal_Non-Ferrous
245,Motor - Cap 1,17.659642826150865,1.5872224944872517,0,0,0,Metal_Ferrous_Steel
246,Motor - Cap 2,17.65964282615087,1.5872224944872582,0,0,0,Metal_Ferrous_Steel
247,Shoulder left (1) (1) (1),834.6276164873739,131.29851686677574,0,0,9,Metal_Non-Ferrous
248,Cap - Shoulder left top (1) (1),33.76732523465533,3.064609620799869,0,0,0,Plastic
249,Cap - Shoulder left top (1) (1) (1),33.76732523465533,3.064609620799882,0,0,0,Plastic
250,Screw 1,3.7252175405052657,0.1837909926849071,0,3,0,Metal_Ferrous_Steel
251,Shoulder left (1) (1) (1) (4),833.1975035976805,131.35990617922843,0,0,1,Metal_Non-Ferrous
252,Cap - Shoulder left top (1) (1) (4) (1),33.76732523465533,3.064609620799869,0,0,0,Plastic
253,Cap - Shoulder left top (1) (1) (1) (3),33.76732523465533,3.0646096207998816,0,0,0,Plastic
254,Shoulder left (1) (1) (1) (4) (1) (1),833.1975035976805,131.35990617922843,0,0,1,Metal_Non-Ferrous
255,Shoulder left (1) (1) (1) (4) (1) (1) (1),251.3412854081777,38.17849489938176,0,0,1,Metal_Non-Ferrous
256,Shoulder left (1) (1) (1) (4) (1) (1) (1) (1),251.3412854081777,38.17849489938172,0,0,1,Metal_Non-Ferrous
257,Shaft - Shoulder (1),20.778276135816895,4.854793331473753,0,0,0,Metal_Aluminum
258,Back plate,90.64523066247133,11.35949972991022,0,44,6,Plastic
259,Socket,38.0735118563635,11.223202042331797,3,37,0,Metal_Non-Ferrous
260,Lamp Base,1349.137480843936,326.74694485206805,1,1,1,Metal_Non-Ferrous
261,Lamp Arm,441.68201929754053,217.69907322430979,0,2,0,Metal_Non-Ferrous
262,Bulb Glass,302.6189319175671,3.779775502805876,0,6,0,Other
263,Light Bulb Base,76.05366572081718,21.12660254680787,0,43,3,Plastic
264,Ball,15.981557952102406,3.5826490304832843,1,2,0,Metal_Non-Ferrous
265,espiral 1,437.4403518989659,16.327910765100754,0,6,0,Metal_Non-Ferrous
266,espiral 2,437.44035189896596,16.327910765102132,0,6,0,Metal_Non-Ferrous
267,base,87.99096447754538,2.379496114224878,1,167,18,Metal_Non-Ferrous
268,barilla 1,365.78115906607394,49.60743249178676,0,8,0,Metal_Non-Ferrous
269,CoverSpeaker,47.8621640774405,0.47516588885545663,0,2,0,Other
270,Speaker,91.31781510695477,32.73635977077914,13,572,465,Plastic
271,Cuña,42.83440453233504,12.116302630672457,0,0,0,Other
272,Faucet Body,786.7773225277531,1070.787780539412,0,4,1,Metal_Non-Ferrous
273,Water,274.70408295360335,147.60668532673122,0,7,0,Other
274,Counter,10068.129318755336,24207.704551648934,0,6,0,Other
275,Basin,37379.41306300351,251163.07737718505,0,4,0,Other
276,Sink Water,5319.08899003935,11421.251120261453,0,1,0,Other
277,A.M.E.E. Version 2,3762.594544991591,2476.599685905676,0,0,0,Plastic
278,Bolt,564.4335248730038,728.8170470350492,12,68,4,Other
279,guppy,4.296271706402228,0.19470602452913296,0,0,7,Metal_Non-Ferrous
280,shortfin molly,6.740244022448001,0.32014040175431885,0,0,14,Metal_Non-Ferrous
281,silver hatchetfish,9.930328603310512,0.510609936487779,0,0,7,Metal_Non-Ferrous
282,green swordtail,10.713594012405661,0.5511294998372004,0,0,7,Metal_Non-Ferrous
283,neon tetra,8.396514519193861,0.4049602040421346,0,0,14,Metal_Non-Ferrous
284,siamese fightingfish,18.739004653684965,0.9990256056460703,0,0,14,Metal_Non-Ferrous
285,b,3348.676038085537,1063.1517855809086,0,5,0,Other
286,Main bottle,370.92045224511224,0.0,0,0,0,Other
287,Cap,39.741741889325,0.0,0,5,1,Other
288,Button,3.90838941509813,0.5855715684726395,0,19,0,Plastic
289,Case,12.030493439457585,1.7029329992463291,0,58,5,Plastic
290,Repeat,4.036859779535391,0.5913829775616045,0,0,0,Plastic
291,FF,4.0006652170669295,0.5911339698592458,0,0,0,Plastic
292,Mute,3.9862458606564513,0.5905632270973472,0,0,0,Plastic
293,Play,3.9686692890342328,0.5905452984975683,0,0,0,Plastic
294,Vol +,4.002245530466091,0.5906881446876876,0,0,0,Plastic
295,Vol -,3.9889085830705135,0.5902715739270298,0,0,0,Plastic
296,Skip,4.002320814340199,0.5912626080809518,0,0,0,Plastic
297,Shuffle,4.031513118491346,0.5913826318906232,0,0,0,Plastic
298,Stop,3.965288008558,0.5913593095934837,0,0,0,Plastic
299,Pause,4.0036375663280435,0.5913608733805354,0,0,0,Plastic
300,Power,3.992437957557068,0.5894978261204169,0,0,0,Plastic
301,Settings,4.031674982869604,0.5947533596606449,0,0,0,Plastic
302,Top,39.880001790374536,5.190000247679654,16,365,61,Plastic
303,Sensor,46.00553823869164,4.151500000000004,0,0,0,Other
304,Screw (1),62.088331683798415,9.281892980556316,0,9,1,Metal_Ferrous_Steel
305,spinner,15.647765385786752,0.8581248428807506,0,0,0,Plastic
306,ring,14.74001953663962,0.6967379991286564,0,78,0,Plastic
307,Light,50.26548245743669,33.510321638291124,0,10,0,Other
308,plate,30178.3009548506,36053.063319114124,0,12,0,Metal_Aluminum
309,top,26748.333600000005,31037.099216000075,0,78,14,Metal_Ferrous_Steel
310,left,173393.20219725036,204313.92038233692,2,68,13,Plastic
311,Antenna Left Bottom,35.36093612405433,0.4487621295262665,0,0,1,Plastic
312,Antenna Right Bottom,35.36093612405432,0.44876212952613925,0,0,1,Plastic
313,Antenna Right Extension,24.926525995926724,1.6052792025534588,0,0,0,Plastic
314,Antenna Left Extension,24.766377301397267,1.583440243649736,0,0,0,Plastic
315,Geigertron,0.16254238896645004,0.0017085874579173526,0,0,0,Plastic
316,Geigertron (2),0.20344354874948234,0.0022000233267477345,0,0,0,Plastic
317,Geigertron (6),0.2308101605732762,0.0025491280282001084,0,0,0,Plastic
318,Geigertron (5),0.23081028120372316,0.0025491663124166198,0,0,0,Plastic
319,Geigertron (4),0.16254238111515645,0.00170858724315026,0,0,0,Plastic
320,Geigertron (1),0.2034435375051558,0.002199907667723735,0,0,0,Plastic
321,Geigertron (9),0.10640667894677601,0.001184506600733149,0,0,0,Plastic
322,Geigertron (3),0.21257298492461824,0.0023231438628852526,0,0,0,Plastic
323,Geigertron (7),0.13472994444914552,0.0014507091182660243,0,0,0,Plastic
324,Geigertron (8),0.21655139178587807,0.0024557348136493833,0,0,0,Plastic
325,Buttons,3.6808719168319586,0.30690579040281524,0,0,0,Plastic
326,Buttons (2),3.6808719168319275,0.30690579040281263,0,0,0,Plastic
327,Buttons (4),3.657500939455743,0.3067584572273072,0,0,0,Plastic
328,Buttons (8),3.6575009394557125,0.3067584572273045,0,0,0,Plastic
329,Buttons (11),3.6575009394557414,0.306758457227307,0,0,0,Plastic
330,Buttons (12),3.6575009394557414,0.306758457227307,0,0,0,Plastic
331,Buttons (9),3.6575009394557125,0.3067584572273044,0,0,0,Plastic
332,Buttons (3),3.657500939455714,0.3067584572273045,0,0,0,Plastic
333,Buttons (10),3.657500939455742,0.306758457227307,0,0,0,Plastic
334,Buttons (13),3.657500939455742,0.306758457227307,0,0,0,Plastic
335,Buttons (14),3.6575009394557125,0.3067584572273044,0,0,0,Plastic
336,Buttons (7),3.6575009394557423,0.3067584572273071,0,0,0,Plastic
337,Buttons (5),3.6808719168319595,0.3069057904028153,0,0,0,Plastic
338,Buttons (1),3.680871916831959,0.3069057904028152,0,0,0,Plastic
339,Buttons (6),3.657500939455742,0.30675845722730705,0,0,0,Plastic
340,Numbers,0.1069696236030517,0.0008435709930653003,0,0,0,Plastic
